participant_id,duration,date,question_code,participant_response,question,block,language,points
001,983,7/14/2026 10:42,start_learning_1,8,Com que idade começou a aprender as seguintes línguas? - inglês,language_history,english,12
001,983,7/14/2026 10:42,start_learning_2,0,Com que idade começou a aprender as seguintes línguas? - português,language_history,portuguese,20
001,983,7/14/2026 10:42,feel_comfortable_1,20,Com que idade começou a sentir-se confortável utilizando as seguintes línguas - inglês,language_history,english,20
001,983,7/14/2026 10:42,feel_comfortable_2,0,Com que idade começou a sentir-se confortável utilizando as seguintes línguas - português,language_history,portuguese,0
001,983,7/14/2026 10:42,classes_1,4,"Quantos anos de aulas (gramática, história, matemática, etc.) teve nas seguintes línguas (escola primária até à universidad? - inglês",language_history,english,4
001,983,7/14/2026 10:42,classes_2,20,"Quantos anos de aulas (gramática, história, matemática, etc.) teve nas seguintes línguas (escola primária até à universidad? - português",language_history,portuguese,20
001,983,7/14/2026 10:42,lusofono_country_1,20,Qunatos anos passou num país/região onde as seguintes línguas são faladas? - inglês,language_history,english,20
001,983,7/14/2026 10:42,lusofono_country_2,20,Qunatos anos passou num país/região onde as seguintes línguas são faladas? - português,language_history,portuguese,20
001,983,7/14/2026 10:42,family_1...27,0,Quantos anos passou no seio de uma família onde as seguintes línguas são faladas? - inglês,language_history,english,0
001,983,7/14/2026 10:42,family_2...28,20,Quantos anos passou no seio de uma família onde as seguintes línguas são faladas? - português,language_history,portuguese,20
001,983,7/14/2026 10:42,work_1,5,Quantos anos passou num ambiente de trabalho em que as seguintes línguas são faladas? - inglês,language_history,english,5
001,983,7/14/2026 10:42,work_2,20,Quantos anos passou num ambiente de trabalho em que as seguintes línguas são faladas? - português,language_history,portuguese,20
001,983,7/14/2026 10:42,friends_1,20,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com amigos? - inglês",language_use,english,20
001,983,7/14/2026 10:42,friends_2,70,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com amigos? - português",language_use,portuguese,70
001,983,7/14/2026 10:42,friends_3,10,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com amigos? - outras línguas",language_use,other,10
001,983,7/14/2026 10:42,family_1...34,0,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com a família? - inglês",language_use,english,0
001,983,7/14/2026 10:42,family_2...35,100,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com a família? - português",language_use,portuguese,100
001,983,7/14/2026 10:42,family_3,0,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas com a família? - outras línguas",language_use,other,0
001,983,7/14/2026 10:42,work_school_1,50,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas na escola / no trabalho? - inglês",language_use,english,50
001,983,7/14/2026 10:42,work_school_2,50,"Durante uma semana típica, que percentagem de tempo usa as seguintes línguas na escola / no trabalho? - português",language_use,portuguese,50
